com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_75_years,persons,169.4444725,0.007484429446264463
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_76_years,persons,164.3848285,0.007260942967287019
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_77_years,persons,140.5642905,0.006208780371466364
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_78_years,persons,139.0675091,0.006142666944338897
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_79_years,persons,117.4405769,0.005187396785319427
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_7_years,persons,304.4285891,0.013446731326953051
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_80_years,persons,101.0554755,0.004463660368374997
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_81_years,persons,98.2509338,0.0043397826509548754
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_82_years,persons,97.5331541,0.004308078037382362
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_83_years,persons,88.9665142,0.003929686160815813
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_84_years,persons,98.825447,0.004365159126492297
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_85_years,persons,442.0623898,0.019526070803549872
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_8_years,persons,306.5724513,0.013541426569244968
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,centre-of-mission,age-single-year,age_9_years,persons,310.0542752,0.013695220109626566
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_0_years,persons,7981,0.010395893224889183
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_10_years,persons,10026,0.013059669900105118
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_11_years,persons,9766,0.01272099902697253
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_12_years,persons,9884,0.012874703500163474
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_13_years,persons,9705,0.0126415416298145
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_14_years,persons,9287,0.012097063072239799
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_15_years,persons,8721,0.01135980263303578
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_16_years,persons,8844,0.01152002000763312
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_17_years,persons,8657,0.011276437495033913
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_18_years,persons,8747,0.01139366972034904
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_19_years,persons,9245,0.012042354700426075
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_1_year,persons,8616,0.011223031703501467
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_20_years,persons,9499,0.012373210091870987
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_21_years,persons,9370,0.012205177235585972
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_22_years,persons,9965,0.012980212502947088
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_23_years,persons,10007,0.013034920874760814
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_24_years,persons,10002,0.013028407973354418
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_25_years,persons,9830,0.012804364164974397
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_26_years,persons,9713,0.012651962272064733
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_27_years,persons,9873,0.012860375117069403
